Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Source IP,Destination IP,Protocol,Label
80,251,328,1,411312,13,291,27,1254.0,12.4,1332,3,13.0,28.5,1575957854.41,1260536.4,25.1,12.55,251,0,251,0.77,10.0,251,0,251,251.0,10.0,251,0,0,0,0,0,6560,20,1256704.98,3831.42,0,1500,1250.23,15.0,225.0,0,0,1,0,1,0,0,0,0.0,1250.23,1254.0,13.0,6560,0,0,0,0,0,0,328,411312,1,13,47925,43590,327,20,0,0,0,0,0,0,0,0,172.16.9.8,10.0.0.9,TCP,DDoS
80,460,703,2,933584,0,418,27,1328.0,47.9,789,13,0.0,5.54,1986348936.17,1500000.0,46.0,23.0,460,0,460,0.65,10.0,460,0,460,230.0,10.0,460,0,0,0,0,0,14060,40,1495744.68,4255.32,0,1500,1324.23,15.0,225.0,0,0,1,0,1,0,0,0,0.0,1324.23,1328.0,0.0,14060,0,0,0,0,0,0,703,933584,2,0,7338,24526,702,20,0,0,0,0,0,0,0,0,172.16.88.72,10.0.0.8,TCP,DDoS
21,16390,39,44,3159,6424,1230,37,81.0,41.64,1366,46,146.0,29.29,584329.27,5060.98,1639.0,819.5,16390,0,16390,420.26,10.0,16390,0,16390,372.5,10.0,16390,0,0,0,0,0,780,880,2378.05,2682.93,0,1500,115.46,15.0,225.0,0,1,0,0,1,0,0,0,1.13,115.46,81.0,146.0,780,0,0,0,0,0,0,39,3159,44,6424,47174,5558,38,20,0,0,0,0,0,0,0,0,192.168.10.110,10.0.0.9,TCP,FTP-Patator
80,15356,29,5,6786,3045,1401,46,234.0,8.97,827,26,609.0,33.84,639789.14,2212.68,1535.6,767.8,15356,0,15356,529.52,10.0,15356,0,15356,3071.2,10.0,15356,0,0,0,0,0,580,100,1887.28,325.39,0,1500,289.15,15.0,225.0,0,1,0,0,1,0,0,0,0.17,289.15,234.0,609.0,580,0,0,0,0,0,0,29,6786,5,3045,46994,62384,28,20,0,0,0,0,0,0,0,0,192.168.1.60,10.0.0.10,UDP,BENIGN
80,651,275,4,342650,124,1410,28,1246.0,34.55,214,29,31.0,41.27,518568835.1,422087.75,65.1,32.55,651,0,651,2.37,10.0,651,0,651,162.75,10.0,651,0,0,0,0,0,5500,80,416036.31,6051.44,0,1500,1228.58,15.0,225.0,0,0,1,0,1,0,0,0,0.01,1228.58,1246.0,31.0,5500,0,0,0,0,0,0,275,342650,4,124,53759,21673,274,20,0,0,0,0,0,0,0,0,172.16.98.70,10.0.0.20,TCP,DDoS
8080,14034,22,17,5324,23052,392,33,242.0,7.84,1249,33,1356.0,37.6,2020506.98,2776.99,1403.4,701.7,14034,0,14034,637.91,10.0,14034,0,14034,825.53,10.0,14034,0,0,0,0,0,440,340,1566.51,1210.48,0,1500,727.59,15.0,225.0,0,1,0,0,1,0,0,0,0.77,727.59,242.0,1356.0,440,0,0,0,0,0,0,22,5324,17,23052,29077,59839,21,20,0,0,0,0,0,0,0,0,192.168.1.18,10.0.0.7,UDP,BENIGN
80,142,621,3,368253,288,427,54,593.0,30.22,888,48,96.0,30.2,2424611842.11,4105263.16,14.2,7.1,142,0,142,0.23,10.0,142,0,142,47.33,10.0,142,0,0,0,0,0,12420,60,4085526.32,19736.84,0,1500,590.61,15.0,225.0,0,0,0,0,1,0,0,0,0.0,590.61,593.0,96.0,12420,0,0,0,0,0,0,621,368253,3,288,31674,35676,620,20,0,0,0,0,0,0,0,0,172.16.40.161,10.0.0.8,TCP,DDoS
80,44776,30,19,12720,11134,328,37,424.0,22.3,1029,0,586.0,47.74,532621.8,1094.09,4477.6,2238.8,44776,0,44776,1492.53,10.0,44776,0,44776,2356.63,10.0,44776,0,0,0,0,0,600,380,669.85,424.24,0,1500,486.82,15.0,225.0,0,1,0,0,1,0,0,0,0.63,486.82,424.0,586.0,600,0,0,0,0,0,0,30,12720,19,11134,58399,48164,29,20,0,0,0,0,0,0,0,0,192.168.1.143,10.0.0.1,UDP,BENIGN
80,41079,11,28,4037,30212,413,47,367.0,38.36,1204,0,1079.0,30.35,833532.09,949.16,4107.9,2053.95,41079,0,41079,3734.45,10.0,41079,0,41079,1467.11,10.0,41079,0,0,0,0,0,220,560,267.71,681.45,0,1500,878.18,15.0,225.0,0,1,0,0,1,0,0,0,2.55,878.18,367.0,1079.0,220,0,0,0,0,0,0,11,4037,28,30212,33021,2276,10,20,0,0,0,0,0,0,0,0,192.168.1.130,10.0.0.6,TCP,BENIGN
443,3896,9,30,2970,6030,1095,8,330.0,48.92,1190,16,201.0,7.29,2304147.47,9984.64,389.6,194.8,3896,0,3896,432.89,10.0,3896,0,3896,129.87,10.0,3896,0,0,0,0,0,180,600,2304.15,7680.49,0,1500,230.77,15.0,225.0,0,1,0,0,1,0,0,0,3.33,230.77,330.0,201.0,180,0,0,0,0,0,0,9,2970,30,6030,32148,63052,8,20,0,0,0,0,0,0,0,0,192.168.1.94,10.0.0.10,TCP,BENIGN
