Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Source IP,Destination IP,Protocol,Label
80,15356,29,5,6786,3045,1401,46,234.0,8.97,827,26,609.0,33.84,639789.14,2212.68,1535.6,767.8,15356,0,15356,529.52,10.0,15356,0,15356,3071.2,10.0,15356,0,0,0,0,0,580,100,1887.28,325.39,0,1500,289.15,15.0,225.0,0,1,0,0,1,0,0,0,0.17,289.15,234.0,609.0,580,0,0,0,0,0,0,29,6786,5,3045,46994,62384,28,20,0,0,0,0,0,0,0,0,192.168.1.60,10.0.0.10,UDP,BENIGN
8080,14034,22,17,5324,23052,392,33,242.0,7.84,1249,33,1356.0,37.6,2020506.98,2776.99,1403.4,701.7,14034,0,14034,637.91,10.0,14034,0,14034,825.53,10.0,14034,0,0,0,0,0,440,340,1566.51,1210.48,0,1500,727.59,15.0,225.0,0,1,0,0,1,0,0,0,0.77,727.59,242.0,1356.0,440,0,0,0,0,0,0,22,5324,17,23052,29077,59839,21,20,0,0,0,0,0,0,0,0,192.168.1.18,10.0.0.7,UDP,BENIGN
80,44776,30,19,12720,11134,328,37,424.0,22.3,1029,0,586.0,47.74,532621.8,1094.09,4477.6,2238.8,44776,0,44776,1492.53,10.0,44776,0,44776,2356.63,10.0,44776,0,0,0,0,0,600,380,669.85,424.24,0,1500,486.82,15.0,225.0,0,1,0,0,1,0,0,0,0.63,486.82,424.0,586.0,600,0,0,0,0,0,0,30,12720,19,11134,58399,48164,29,20,0,0,0,0,0,0,0,0,192.168.1.143,10.0.0.1,UDP,BENIGN
80,41079,11,28,4037,30212,413,47,367.0,38.36,1204,0,1079.0,30.35,833532.09,949.16,4107.9,2053.95,41079,0,41079,3734.45,10.0,41079,0,41079,1467.11,10.0,41079,0,0,0,0,0,220,560,267.71,681.45,0,1500,878.18,15.0,225.0,0,1,0,0,1,0,0,0,2.55,878.18,367.0,1079.0,220,0,0,0,0,0,0,11,4037,28,30212,33021,2276,10,20,0,0,0,0,0,0,0,0,192.168.1.130,10.0.0.6,TCP,BENIGN
443,3896,9,30,2970,6030,1095,8,330.0,48.92,1190,16,201.0,7.29,2304147.47,9984.64,389.6,194.8,3896,0,3896,432.89,10.0,3896,0,3896,129.87,10.0,3896,0,0,0,0,0,180,600,2304.15,7680.49,0,1500,230.77,15.0,225.0,0,1,0,0,1,0,0,0,3.33,230.77,330.0,201.0,180,0,0,0,0,0,0,9,2970,30,6030,32148,63052,8,20,0,0,0,0,0,0,0,0,192.168.1.94,10.0.0.10,TCP,BENIGN
53,13980,19,26,7847,37752,738,51,413.0,49.76,1430,47,1452.0,22.47,3259399.57,3216.58,1398.0,699.0,13980,0,13980,735.79,10.0,13980,0,13980,537.69,10.0,13980,0,0,0,0,0,380,520,1358.11,1858.47,0,1500,1013.31,15.0,225.0,0,1,0,0,1,0,0,0,1.37,1013.31,413.0,1452.0,380,0,0,0,0,0,0,19,7847,26,37752,34919,30588,18,20,0,0,0,0,0,0,0,0,192.168.1.69,10.0.0.17,TCP,BENIGN
8080,1478,20,19,3140,23655,114,9,157.0,35.68,220,29,1245.0,4.3,18007392.47,26209.68,147.8,73.9,1478,0,1478,73.9,10.0,1478,0,1478,77.79,10.0,1478,0,0,0,0,0,400,380,13440.86,12768.82,0,1500,687.05,15.0,225.0,0,1,0,0,1,0,0,0,0.95,687.05,157.0,1245.0,400,0,0,0,0,0,0,20,3140,19,23655,3058,57337,19,20,0,0,0,0,0,0,0,0,192.168.1.59,10.0.0.3,TCP,BENIGN
8080,43942,17,8,5372,2480,597,60,316.0,40.57,489,12,310.0,5.75,178649.44,568.8,4394.2,2197.1,43942,0,43942,2584.82,10.0,43942,0,43942,5492.75,10.0,43942,0,0,0,0,0,340,160,386.79,182.02,0,1500,314.08,15.0,225.0,0,1,0,0,1,0,0,0,0.47,314.08,316.0,310.0,340,0,0,0,0,0,0,17,5372,8,2480,29249,24219,16,20,0,0,0,0,0,0,0,0,192.168.1.133,10.0.0.8,UDP,BENIGN
80,4072,14,25,2982,6575,492,24,213.0,27.28,387,54,263.0,9.99,2341254.29,9554.14,407.2,203.6,4072,0,4072,290.86,10.0,4072,0,4072,162.88,10.0,4072,0,0,0,0,0,280,500,3429.69,6124.45,0,1500,245.05,15.0,225.0,0,1,0,0,1,0,0,0,1.79,245.05,213.0,263.0,280,0,0,0,0,0,0,14,2982,25,6575,31318,17371,13,20,0,0,0,0,0,0,0,0,192.168.1.121,10.0.0.2,TCP,BENIGN
8080,29919,11,15,4356,17670,417,24,396.0,15.54,219,7,1178.0,37.65,735941.73,868.72,2991.9,1495.95,29919,0,29919,2719.91,10.0,29919,0,29919,1994.6,10.0,29919,0,0,0,0,0,220,300,367.54,501.19,0,1500,847.15,15.0,225.0,0,1,0,0,1,0,0,0,1.36,847.15,396.0,1178.0,220,0,0,0,0,0,0,11,4356,15,17670,4746,4286,10,20,0,0,0,0,0,0,0,0,192.168.1.2,10.0.0.13,UDP,BENIGN
8080,17189,8,23,3248,15709,643,50,406.0,7.41,1421,38,683.0,23.4,1102215.25,1802.43,1718.9,859.45,17189,0,17189,2148.62,10.0,17189,0,17189,747.35,10.0,17189,0,0,0,0,0,160,460,465.14,1337.29,0,1500,611.52,15.0,225.0,0,1,0,0,1,0,0,0,2.88,611.52,406.0,683.0,160,0,0,0,0,0,0,8,3248,23,15709,61884,50274,7,20,0,0,0,0,0,0,0,0,192.168.1.170,10.0.0.19,TCP,BENIGN
80,43869,28,19,5404,26562,375,33,193.0,6.66,319,19,1398.0,14.35,728503.38,1071.13,4386.9,2193.45,43869,0,43869,1566.75,10.0,43869,0,43869,2308.89,10.0,43869,0,0,0,0,0,560,380,638.12,433.01,0,1500,680.13,15.0,225.0,0,1,0,0,1,0,0,0,0.68,680.13,193.0,1398.0,560,0,0,0,0,0,0,28,5404,19,26562,40638,14803,27,20,0,0,0,0,0,0,0,0,192.168.1.79,10.0.0.20,TCP,BENIGN
443,1650,23,8,5612,5696,242,35,244.0,18.21,1143,51,712.0,34.3,6812048.19,18674.7,165.0,82.5,1650,0,1650,71.74,10.0,1650,0,1650,206.25,10.0,1650,0,0,0,0,0,460,160,13855.42,4819.28,0,1500,364.77,15.0,225.0,0,1,0,0,1,0,0,0,0.35,364.77,244.0,712.0,460,0,0,0,0,0,0,23,5612,8,5696,56290,36141,22,20,0,0,0,0,0,0,0,0,192.168.1.212,10.0.0.8,UDP,BENIGN
