Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Source IP,Destination IP,Protocol,Label
80,251,328,1,411312,13,291,27,1254.0,12.4,1332,3,13.0,28.5,1575957854.41,1260536.4,25.1,12.55,251,0,251,0.77,10.0,251,0,251,251.0,10.0,251,0,0,0,0,0,6560,20,1256704.98,3831.42,0,1500,1250.23,15.0,225.0,0,0,1,0,1,0,0,0,0.0,1250.23,1254.0,13.0,6560,0,0,0,0,0,0,328,411312,1,13,47925,43590,327,20,0,0,0,0,0,0,0,0,172.16.9.8,10.0.0.9,TCP,DDoS
80,460,703,2,933584,0,418,27,1328.0,47.9,789,13,0.0,5.54,1986348936.17,1500000.0,46.0,23.0,460,0,460,0.65,10.0,460,0,460,230.0,10.0,460,0,0,0,0,0,14060,40,1495744.68,4255.32,0,1500,1324.23,15.0,225.0,0,0,1,0,1,0,0,0,0.0,1324.23,1328.0,0.0,14060,0,0,0,0,0,0,703,933584,2,0,7338,24526,702,20,0,0,0,0,0,0,0,0,172.16.88.72,10.0.0.8,TCP,DDoS
80,651,275,4,342650,124,1410,28,1246.0,34.55,214,29,31.0,41.27,518568835.1,422087.75,65.1,32.55,651,0,651,2.37,10.0,651,0,651,162.75,10.0,651,0,0,0,0,0,5500,80,416036.31,6051.44,0,1500,1228.58,15.0,225.0,0,0,1,0,1,0,0,0,0.01,1228.58,1246.0,31.0,5500,0,0,0,0,0,0,275,342650,4,124,53759,21673,274,20,0,0,0,0,0,0,0,0,172.16.98.70,10.0.0.20,TCP,DDoS
80,142,621,3,368253,288,427,54,593.0,30.22,888,48,96.0,30.2,2424611842.11,4105263.16,14.2,7.1,142,0,142,0.23,10.0,142,0,142,47.33,10.0,142,0,0,0,0,0,12420,60,4085526.32,19736.84,0,1500,590.61,15.0,225.0,0,0,0,0,1,0,0,0,0.0,590.61,593.0,96.0,12420,0,0,0,0,0,0,621,368253,3,288,31674,35676,620,20,0,0,0,0,0,0,0,0,172.16.40.161,10.0.0.8,TCP,DDoS
80,162,158,4,91956,92,581,51,582.0,6.87,1266,31,23.0,29.37,535162790.7,941860.47,16.2,8.1,162,0,162,1.03,10.0,162,0,162,40.5,10.0,162,0,0,0,0,0,3160,80,918604.65,23255.81,0,1500,568.2,15.0,225.0,0,0,0,0,1,0,0,0,0.03,568.2,582.0,23.0,3160,0,0,0,0,0,0,158,91956,4,92,3604,41591,157,20,0,0,0,0,0,0,0,0,172.16.173.221,10.0.0.17,TCP,DDoS
80,518,600,2,819600,12,190,0,1366.0,17.34,367,33,6.0,8.92,1552295454.55,1140151.52,51.8,25.9,518,0,518,0.86,10.0,518,0,518,259.0,10.0,518,0,0,0,0,0,12000,40,1136363.64,3787.88,0,1500,1361.48,15.0,225.0,0,0,1,0,1,0,0,0,0.0,1361.48,1366.0,6.0,12000,0,0,0,0,0,0,600,819600,2,12,29956,37154,599,20,0,0,0,0,0,0,0,0,172.16.213.71,10.0.0.9,TCP,DDoS
80,115,177,5,115404,345,403,55,652.0,7.24,731,46,69.0,45.05,925992000.0,1456000.0,11.5,5.75,115,0,115,0.65,10.0,115,0,115,23.0,10.0,115,0,0,0,0,0,3540,100,1416000.0,40000.0,0,1500,635.98,15.0,225.0,0,0,1,0,1,0,0,0,0.03,635.98,652.0,69.0,3540,0,0,0,0,0,0,177,115404,5,345,53174,64713,176,20,0,0,0,0,0,0,0,0,172.16.150.142,10.0.0.1,TCP,DDoS
80,562,953,0,772883,0,1342,41,811.0,23.78,1005,27,0.0,26.05,1351194055.94,1666083.92,56.2,28.1,562,0,562,0.59,10.0,562,0,562,562.0,10.0,562,0,0,0,0,0,19060,0,1666083.92,0.0,0,1500,811.0,15.0,225.0,0,0,1,0,1,0,0,0,0.0,811.0,811.0,0.0,19060,0,0,0,0,0,0,953,772883,0,0,53018,60059,952,20,0,0,0,0,0,0,0,0,172.16.202.149,10.0.0.13,TCP,DDoS
80,437,950,4,908200,80,606,35,956.0,38.52,1167,62,20.0,31.71,2031946308.72,2134228.19,43.7,21.85,437,0,437,0.46,10.0,437,0,437,109.25,10.0,437,0,0,0,0,0,19000,80,2125279.64,8948.55,0,1500,952.08,15.0,225.0,0,1,1,0,1,0,0,0,0.0,952.08,956.0,20.0,19000,0,0,0,0,0,0,950,908200,4,80,18996,29827,949,20,0,0,0,0,0,0,0,0,172.16.67.193,10.0.0.17,TCP,DDoS
80,942,230,4,240580,12,977,17,1046.0,43.48,472,6,3.0,13.75,252722689.08,245798.32,94.2,47.1,942,0,942,4.1,10.0,942,0,942,235.5,10.0,942,0,0,0,0,0,4600,80,241596.64,4201.68,0,1500,1028.17,15.0,225.0,0,1,0,0,1,0,0,0,0.02,1028.17,1046.0,3.0,4600,0,0,0,0,0,0,230,240580,4,12,22453,14871,229,20,0,0,0,0,0,0,0,0,172.16.22.165,10.0.0.15,TCP,DDoS
