Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Source IP,Destination IP,Protocol,Label
21,16390,39,44,3159,6424,1230,37,81.0,41.64,1366,46,146.0,29.29,584329.27,5060.98,1639.0,819.5,16390,0,16390,420.26,10.0,16390,0,16390,372.5,10.0,16390,0,0,0,0,0,780,880,2378.05,2682.93,0,1500,115.46,15.0,225.0,0,1,0,0,1,0,0,0,1.13,115.46,81.0,146.0,780,0,0,0,0,0,0,39,3159,44,6424,47174,5558,38,20,0,0,0,0,0,0,0,0,192.168.10.110,10.0.0.9,TCP,FTP-Patator
21,149264,16,13,3008,689,584,21,188.0,20.91,1085,27,53.0,43.37,24766.54,194.27,14926.4,7463.2,149264,0,149264,9329.0,10.0,149264,0,149264,11481.85,10.0,149264,0,0,0,0,0,320,260,107.19,87.09,0,1500,127.48,15.0,225.0,0,1,0,0,1,0,0,0,0.81,127.48,188.0,53.0,320,0,0,0,0,0,0,16,3008,13,689,60142,4842,15,20,0,0,0,0,0,0,0,0,192.168.10.111,10.0.0.15,TCP,FTP-Patator
21,60070,25,16,3500,3088,1371,19,140.0,46.36,584,20,193.0,48.83,109653.79,682.42,6007.0,3003.5,60070,0,60070,2402.8,10.0,60070,0,60070,3754.38,10.0,60070,0,0,0,0,0,500,320,416.11,266.31,0,1500,160.68,15.0,225.0,0,1,0,0,1,0,0,0,0.64,160.68,140.0,193.0,500,0,0,0,0,0,0,25,3500,16,3088,54134,12603,24,20,0,0,0,0,0,0,0,0,192.168.10.152,10.0.0.12,TCP,FTP-Patator
21,198085,31,36,3503,4248,321,48,113.0,43.74,1063,28,118.0,10.78,39127.69,338.22,19808.5,9904.25,198085,0,198085,6389.84,10.0,198085,0,198085,5502.36,10.0,198085,0,0,0,0,0,620,720,156.49,181.73,0,1500,115.69,15.0,225.0,0,1,0,0,1,0,0,0,1.16,115.69,113.0,118.0,620,0,0,0,0,0,0,31,3503,36,4248,61191,31166,30,20,0,0,0,0,0,0,0,0,192.168.10.120,10.0.0.6,TCP,FTP-Patator
21,62367,21,43,3528,2666,610,15,168.0,23.37,1051,40,62.0,47.55,99299.42,1026.02,6236.7,3118.35,62367,0,62367,2969.86,10.0,62367,0,62367,1450.4,10.0,62367,0,0,0,0,0,420,860,336.66,689.36,0,1500,96.78,15.0,225.0,0,1,0,0,1,0,0,0,2.05,96.78,168.0,62.0,420,0,0,0,0,0,0,21,3528,43,2666,59420,30004,20,20,0,0,0,0,0,0,0,0,192.168.10.171,10.0.0.14,TCP,FTP-Patator
21,153355,12,32,2232,5088,858,8,186.0,25.79,798,1,159.0,42.63,47729.27,286.9,15335.5,7667.75,153355,0,153355,12779.58,10.0,153355,0,153355,4792.34,10.0,153355,0,0,0,0,0,240,640,78.24,208.65,0,1500,166.36,15.0,225.0,0,1,0,0,1,0,0,0,2.67,166.36,186.0,159.0,240,0,0,0,0,0,0,12,2232,32,5088,54892,33125,11,20,0,0,0,0,0,0,0,0,192.168.10.184,10.0.0.4,TCP,FTP-Patator
21,48495,29,48,5655,5904,354,59,195.0,34.75,924,34,123.0,25.52,238305.33,1587.47,4849.5,2424.75,48495,0,48495,1672.24,10.0,48495,0,48495,1010.31,10.0,48495,0,0,0,0,0,580,960,597.88,989.59,0,1500,150.12,15.0,225.0,0,1,0,0,1,0,0,0,1.66,150.12,195.0,123.0,580,0,0,0,0,0,0,29,5655,48,5904,33361,29688,28,20,0,0,0,0,0,0,0,0,192.168.10.156,10.0.0.2,TCP,FTP-Patator
21,182631,44,20,2992,3260,1303,38,68.0,32.31,968,32,163.0,23.38,34231.09,350.41,18263.1,9131.55,182631,0,182631,4150.7,10.0,182631,0,182631,9131.55,10.0,182631,0,0,0,0,0,880,400,240.91,109.5,0,1500,97.69,15.0,225.0,0,1,0,0,1,0,0,0,0.45,97.69,68.0,163.0,880,0,0,0,0,0,0,44,2992,20,3260,20799,14055,43,20,0,0,0,0,0,0,0,0,192.168.10.144,10.0.0.10,TCP,FTP-Patator
21,82369,31,17,5239,1173,562,50,169.0,48.4,1241,46,69.0,5.42,77835.37,582.67,8236.9,4118.45,82369,0,82369,2657.06,10.0,82369,0,82369,4845.24,10.0,82369,0,0,0,0,0,620,340,376.31,206.36,0,1500,133.58,15.0,225.0,0,1,0,0,1,0,0,0,0.55,133.58,169.0,69.0,620,0,0,0,0,0,0,31,5239,17,1173,26858,1912,30,20,0,0,0,0,0,0,0,0,192.168.10.118,10.0.0.16,TCP,FTP-Patator
21,158738,45,45,6030,3645,824,54,134.0,43.54,205,36,81.0,30.42,60945.65,566.94,15873.8,7936.9,158738,0,158738,3527.51,10.0,158738,0,158738,3527.51,10.0,158738,0,0,0,0,0,900,900,283.47,283.47,0,1500,107.5,15.0,225.0,0,1,0,0,1,0,0,0,1.0,107.5,134.0,81.0,900,0,0,0,0,0,0,45,6030,45,3645,24045,7789,44,20,0,0,0,0,0,0,0,0,192.168.10.152,10.0.0.2,TCP,FTP-Patator
21,43389,26,22,2444,1958,1442,9,94.0,9.68,1386,63,89.0,23.73,101430.91,1106.02,4338.9,2169.45,43389,0,43389,1668.81,10.0,43389,0,43389,1972.23,10.0,43389,0,0,0,0,0,520,440,599.09,506.92,0,1500,91.71,15.0,225.0,0,1,0,0,1,0,0,0,0.85,91.71,94.0,89.0,520,0,0,0,0,0,0,26,2444,22,1958,37944,50799,25,20,0,0,0,0,0,0,0,0,192.168.10.197,10.0.0.4,TCP,FTP-Patator
21,167013,18,48,2628,4272,470,21,146.0,36.34,189,52,89.0,18.85,41311.68,395.16,16701.3,8350.65,167013,0,167013,9278.5,10.0,167013,0,167013,3479.44,10.0,167013,0,0,0,0,0,360,960,107.77,287.39,0,1500,104.55,15.0,225.0,0,1,0,0,1,0,0,0,2.67,104.55,146.0,89.0,360,0,0,0,0,0,0,18,2628,48,4272,48158,16566,17,20,0,0,0,0,0,0,0,0,192.168.10.120,10.0.0.11,TCP,FTP-Patator
21,84724,20,20,2640,2140,1162,36,132.0,42.45,613,25,107.0,32.12,56411.83,472.07,8472.4,4236.2,84724,0,84724,4236.2,10.0,84724,0,84724,4236.2,10.0,84724,0,0,0,0,0,400,400,236.03,236.03,0,1500,119.5,15.0,225.0,0,1,0,0,1,0,0,0,1.0,119.5,132.0,107.0,400,0,0,0,0,0,0,20,2640,20,2140,37099,18986,19,20,0,0,0,0,0,0,0,0,192.168.10.144,10.0.0.5,TCP,FTP-Patator
21,181634,17,36,3383,4608,1388,3,199.0,30.25,643,29,128.0,36.35,43992.64,291.78,18163.4,9081.7,181634,0,181634,10684.35,10.0,181634,0,181634,5045.39,10.0,181634,0,0,0,0,0,340,720,93.59,198.19,0,1500,150.77,15.0,225.0,0,1,0,0,1,0,0,0,2.12,150.77,199.0,128.0,340,0,0,0,0,0,0,17,3383,36,4608,39241,32486,16,20,0,0,0,0,0,0,0,0,192.168.10.192,10.0.0.11,TCP,FTP-Patator
21,80299,30,28,1950,2016,1275,29,65.0,27.22,176,22,72.0,21.48,49384.25,722.21,8029.9,4014.95,80299,0,80299,2676.63,10.0,80299,0,80299,2867.82,10.0,80299,0,0,0,0,0,600,560,373.56,348.65,0,1500,68.38,15.0,225.0,0,1,0,0,1,0,0,0,0.93,68.38,65.0,72.0,600,0,0,0,0,0,0,30,1950,28,2016,55893,12520,29,20,0,0,0,0,0,0,0,0,192.168.10.183,10.0.0.7,TCP,FTP-Patator
21,137093,28,24,5516,3144,1324,41,197.0,12.61,393,28,131.0,21.26,63164.19,379.28,13709.3,6854.65,137093,0,137093,4896.18,10.0,137093,0,137093,5712.21,10.0,137093,0,0,0,0,0,560,480,204.23,175.05,0,1500,166.54,15.0,225.0,0,1,0,0,1,0,0,0,0.86,166.54,197.0,131.0,560,0,0,0,0,0,0,28,5516,24,3144,19032,4994,27,20,0,0,0,0,0,0,0,0,192.168.10.173,10.0.0.5,TCP,FTP-Patator
21,22933,43,46,2236,4232,819,27,52.0,31.78,410,52,92.0,31.19,281916.05,3879.18,2293.3,1146.65,22933,0,22933,533.33,10.0,22933,0,22933,498.54,10.0,22933,0,0,0,0,0,860,920,1874.21,2004.97,0,1500,72.67,15.0,225.0,0,1,0,0,1,0,0,0,1.07,72.67,52.0,92.0,860,0,0,0,0,0,0,43,2236,46,4232,29992,57358,42,20,0,0,0,0,0,0,0,0,192.168.10.156,10.0.0.5,TCP,FTP-Patator
21,92822,10,34,1280,2584,1185,30,128.0,21.57,222,18,76.0,35.87,41623.58,473.97,9282.2,4641.1,92822,0,92822,9282.2,10.0,92822,0,92822,2730.06,10.0,92822,0,0,0,0,0,200,680,107.72,366.25,0,1500,87.82,15.0,225.0,0,1,0,0,1,0,0,0,3.4,87.82,128.0,76.0,200,0,0,0,0,0,0,10,1280,34,2584,7096,3877,9,20,0,0,0,0,0,0,0,0,192.168.10.126,10.0.0.1,TCP,FTP-Patator
