Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Source IP,Destination IP,Protocol,Label
22,62418,24,54,3696,19386,371,44,154.0,44.16,600,47,359.0,14.96,369737.94,1249.44,6241.8,3120.9,62418,0,62418,2600.75,10.0,62418,0,62418,1155.89,10.0,62418,0,0,0,0,0,480,1080,384.44,865.0,0,1500,295.92,15.0,225.0,0,1,0,0,1,0,0,0,2.25,295.92,154.0,359.0,480,0,0,0,0,0,0,24,3696,54,19386,29716,55640,23,20,0,0,0,0,0,0,0,0,192.168.12.133,10.0.0.15,TCP,SSH-Patator
22,54457,38,52,10222,14092,581,39,269.0,12.01,507,18,271.0,2.2,446398.74,1652.38,5445.7,2722.85,54457,0,54457,1433.08,10.0,54457,0,54457,1047.25,10.0,54457,0,0,0,0,0,760,1040,697.67,954.71,0,1500,270.16,15.0,225.0,0,1,0,0,1,0,0,0,1.37,270.16,269.0,271.0,760,0,0,0,0,0,0,38,10222,52,14092,17046,65483,37,20,0,0,0,0,0,0,0,0,192.168.12.111,10.0.0.6,TCP,SSH-Patator
22,296330,71,58,11076,20242,658,55,156.0,24.8,896,43,349.0,33.77,105682.66,435.31,29633.0,14816.5,296330,0,296330,4173.66,10.0,296330,0,296330,5109.14,10.0,296330,0,0,0,0,0,1420,1160,239.59,195.72,0,1500,242.78,15.0,225.0,0,1,0,0,1,0,0,0,0.82,242.78,156.0,349.0,1420,0,0,0,0,0,0,71,11076,58,20242,53307,27497,70,20,0,0,0,0,0,0,0,0,192.168.12.128,10.0.0.18,TCP,SSH-Patator
22,137854,68,49,16660,14406,158,63,245.0,42.7,472,62,294.0,11.39,225338.01,848.66,13785.4,6892.7,137854,0,137854,2027.26,10.0,137854,0,137854,2813.35,10.0,137854,0,0,0,0,0,1360,980,493.24,355.42,0,1500,265.52,15.0,225.0,0,1,0,0,1,0,0,0,0.72,265.52,245.0,294.0,1360,0,0,0,0,0,0,68,16660,49,14406,53286,17931,67,20,0,0,0,0,0,0,0,0,192.168.12.143,10.0.0.15,TCP,SSH-Patator
22,72102,55,68,11330,14620,1170,48,206.0,23.08,1006,38,215.0,43.15,359856.89,1705.68,7210.2,3605.1,72102,0,72102,1310.95,10.0,72102,0,72102,1060.32,10.0,72102,0,0,0,0,0,1100,1360,762.7,942.98,0,1500,210.98,15.0,225.0,0,1,0,0,1,0,0,0,1.24,210.98,206.0,215.0,1100,0,0,0,0,0,0,55,11330,68,14620,29103,21013,54,20,0,0,0,0,0,0,0,0,192.168.12.199,10.0.0.8,TCP,SSH-Patator
22,29239,49,25,8820,5725,337,51,180.0,43.38,102,59,229.0,21.25,497281.96,2530.0,2923.9,1461.95,29239,0,29239,596.71,10.0,29239,0,29239,1169.56,10.0,29239,0,0,0,0,0,980,500,1675.27,854.73,0,1500,196.55,15.0,225.0,0,1,0,0,1,0,0,0,0.51,196.55,180.0,229.0,980,0,0,0,0,0,0,49,8820,25,5725,13293,34976,48,20,0,0,0,0,0,0,0,0,192.168.12.141,10.0.0.18,TCP,SSH-Patator
22,65917,35,44,8610,12452,705,37,246.0,2.08,1448,50,283.0,14.45,319474.57,1198.3,6591.7,3295.85,65917,0,65917,1883.34,10.0,65917,0,65917,1498.11,10.0,65917,0,0,0,0,0,700,880,530.89,667.4,0,1500,266.61,15.0,225.0,0,1,0,0,1,0,0,0,1.26,266.61,246.0,283.0,700,0,0,0,0,0,0,35,8610,44,12452,38088,57693,34,20,0,0,0,0,0,0,0,0,192.168.12.173,10.0.0.16,TCP,SSH-Patator
22,245367,34,54,5474,13932,1060,24,161.0,19.02,1268,56,258.0,23.62,79086.47,358.63,24536.7,12268.35,245367,0,245367,7216.68,10.0,245367,0,245367,4543.83,10.0,245367,0,0,0,0,0,680,1080,138.56,220.07,0,1500,220.52,15.0,225.0,0,1,0,0,1,0,0,0,1.59,220.52,161.0,258.0,680,0,0,0,0,0,0,34,5474,54,13932,19466,51995,33,20,0,0,0,0,0,0,0,0,192.168.12.200,10.0.0.10,TCP,SSH-Patator
22,160884,27,56,7371,21168,908,44,273.0,47.78,399,37,378.0,3.06,177377.65,515.87,16088.4,8044.2,160884,0,160884,5958.67,10.0,160884,0,160884,2872.93,10.0,160884,0,0,0,0,0,540,1120,167.81,348.06,0,1500,343.84,15.0,225.0,0,1,0,0,1,0,0,0,2.07,343.84,273.0,378.0,540,0,0,0,0,0,0,27,7371,56,21168,63607,47801,26,20,0,0,0,0,0,0,0,0,192.168.12.148,10.0.0.9,TCP,SSH-Patator
22,269723,31,79,9021,19592,118,38,291.0,28.83,319,42,248.0,14.94,106078.97,407.81,26972.3,13486.15,269723,0,269723,8700.74,10.0,269723,0,269723,3414.22,10.0,269723,0,0,0,0,0,620,1580,114.93,292.88,0,1500,260.12,15.0,225.0,0,1,0,0,1,0,0,0,2.55,260.12,291.0,248.0,620,0,0,0,0,0,0,31,9021,79,19592,43029,36605,30,20,0,0,0,0,0,0,0,0,192.168.12.104,10.0.0.13,TCP,SSH-Patator
